dns_server,url,resolution_time_ms
192.168.178.1,youtube.com,2.02
192.168.178.1,amazon.com,1.96
192.168.178.1,wikipedia.org,1.82
8.8.8.8,google.com,9.95
8.8.8.8,facebook.com,10.22
8.8.8.8,youtube.com,9.83
8.8.8.8,amazon.com,9.74
8.8.8.8,wikipedia.org,9.96
1.1.1.1,google.com,9.64
1.1.1.1,facebook.com,10.0
1.1.1.1,youtube.com,10.29
1.1.1.1,amazon.com,10.32
1.1.1.1,wikipedia.org,10.6
9.9.9.9,google.com,9.58
9.9.9.9,facebook.com,32.55
9.9.9.9,youtube.com,38.33
9.9.9.9,amazon.com,9.42
9.9.9.9,wikipedia.org,35.36
208.67.222.222,google.com,10.75
208.67.222.222,facebook.com,44.77
208.67.222.222,youtube.com,9.88
208.67.222.222,amazon.com,9.6
208.67.222.222,wikipedia.org,9.23
192.168.178.1,google.com,1.92
192.168.178.1,facebook.com,1.81
192.168.178.1,youtube.com,1.98
192.168.178.1,amazon.com,2.03
192.168.178.1,wikipedia.org,1.92
8.8.8.8,google.com,10.25
8.8.8.8,facebook.com,9.92
8.8.8.8,youtube.com,9.91
8.8.8.8,amazon.com,9.77
8.8.8.8,wikipedia.org,9.94
1.1.1.1,google.com,10.36
1.1.1.1,facebook.com,11.69
1.1.1.1,youtube.com,10.42
1.1.1.1,amazon.com,10.4
1.1.1.1,wikipedia.org,10.09
9.9.9.9,google.com,10.74
9.9.9.9,facebook.com,9.81
9.9.9.9,youtube.com,9.57
9.9.9.9,amazon.com,10.05
9.9.9.9,wikipedia.org,40.03
208.67.222.222,google.com,18.07
208.67.222.222,facebook.com,14.62
208.67.222.222,youtube.com,10.51
208.67.222.222,amazon.com,9.74
208.67.222.222,wikipedia.org,9.75
192.168.178.1,google.com,1.89
192.168.178.1,facebook.com,1.85
192.168.178.1,youtube.com,1.9
192.168.178.1,amazon.com,2.54
192.168.178.1,wikipedia.org,1.85
8.8.8.8,google.com,10.39
8.8.8.8,facebook.com,9.82
8.8.8.8,youtube.com,10.05
8.8.8.8,amazon.com,9.67
8.8.8.8,wikipedia.org,9.81
1.1.1.1,google.com,9.51
1.1.1.1,facebook.com,10.96
1.1.1.1,youtube.com,11.67
1.1.1.1,amazon.com,9.66
1.1.1.1,wikipedia.org,9.69
9.9.9.9,google.com,10.53
9.9.9.9,facebook.com,9.54
9.9.9.9,youtube.com,9.99
9.9.9.9,amazon.com,9.53
9.9.9.9,wikipedia.org,9.91
208.67.222.222,google.com,31.4
208.67.222.222,facebook.com,14.49
208.67.222.222,youtube.com,10.13
208.67.222.222,amazon.com,9.22
208.67.222.222,wikipedia.org,10.08
